,Name der Münze,Herkunftsland,Ausgabejahr,Menge in Mill.,Landspezifisch?,Prägestätte,Wert,Details
51,80. Geburtstag Papst Benedikts XVI.,Vatican,2007,0.1,False,,2 euro,"Papst Benedikt XVI., bürgerlich Joseph Aloisius Ratzinger (* 1927 in Marktl, Bayern; † 2022 im Vatikan) war von 2005 bis zu seinem Amtsverzicht 2013 Oberhaupt der katholischen Kirche. Nachfolgend lebte er bis zu seinem Tod zurückgezogen als emeritierter Papst im Vatikan. Kreisförmig eingerahmt wird sein nach links blickendes Bildnis von den Inschriften „BENEDICTI XVI P.M. ÆTATIS ANNO LXXX“ (80. Jahrestag Papst Benedikt XVI.) rechts und „CITTÀ DEL VATICANO“ (Vatikanstadt) links. Links unten sind das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom und darunter das Ausgabejahr „2007“ dargestellt. Die Signets „LONGO“ der Designerin Daniela Longo und „MCC INC.“ (INC. = Incisore / Graveur) der Medailleurin Maria Carmela Colaneri erscheinen an der Schulter bzw. dem Revers des Papstes."
52,90 Jahre Unabhängigkeit Finnlands,Finland,2007,2.0,False,,2 euro,"Die von Reijo Juhani Paavilainen gestaltete Gedenkmünze zeigt ein Langschiff, ein dem Gokstad-Schiff ähnliches nordisches Ruderschiff. Neun Personen (sichtbar sind nur die Ruderer einer Schiffsseite) rudern nach links – symbolisch gesehen in Richtung Freiheit. Unter dem Boot sind stilisiert Wellen dargestellt. Oben ist das Ausgabejahr „2007“, unten das Jahr der finnischen Unabhängigkeit „1917“ abgebildet. Auf der rechten Seite befindet sich das Landeskürzel „FI“ (Finnland) und auf der linken ein Füllhorn mit Ronden als Münzstättenzeichen der Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa."
30,Großherzoglicher Palast 4. Münze der Serie Großherzogliche Dynastie,Luxembourg,2007,1.031,False,,2 euro,"Der auf einem Gestaltungskonzept der Luxemburger Zentralbank basierende Münzentwurf zeigt links die Stadtresidenz der großherzoglichen Familie Luxemburgs, die 1572–1574 als Rathaus erbaut und 1891–1894 zum Großherzoglichen Palast erweitert wurde. Rechts ist im Halbprofil das Bildnis Großherzog Henris abgebildet und unten der Landesname „LËTZEBUERG“ (Luxemburg). Links ist senkrecht das Ausgabejahr „2007“ dargestellt, darüber ein Füllhorn als Münzstättenzeichen der französischen Prägestätte Monnaie de Paris in Pessac und darunter ein Jagdhorn mit dem Tierkreiszeichen Fische als Münzmeisterzeichen Hubert Larivières."
25,Mecklenburg-Vorpommern (Schweriner Schloss) 2. Münze der Bundesländerserie,Germany,2007,6.249,True,A,2 euro,"Das aus dem Stammesverband der Abodriten hervorgegangene Haus Mecklenburg, eine Dynastie von Herzögen und Großherzögen, herrschte von 1131 bis 1918 über Mecklenburg und später Mecklenburg-Schwerin. Das Schweriner Schloss, ein in einem tausendjährigen Prozess historisch gewachsenes Bauwerk, liegt auf einer Insel in der Stadt Schwerin.85 1845–1857 fand ein großer Umbau im Stil der Neorenaissance statt, unter der Leitung Georg Adolf Demmlers und der Mitwirkung von Gottfried Semper und Friedrich August Stüler. Letzterer gestalte die Kuppel, die von einer Statue des Erzengels Michael gekrönt ist.86 Darunter in der Fassade befindet sich das Reiterstandbild Fürst Niklots (≈1100–1160),87 des Stammvaters der Herzöge und Großherzöge von Mecklenburg. Die Münze zeigt das Schloss, das heute Sitz des Landtags von Mecklenburg-Vorpommern ist. Unter dem Namen „MECKLENBURG-VORPOMMERN“ befinden sich die Initialen „HH“ des Münzgestalters Heinz Hoyer. Das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) ist oben zu sehen. „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis unten im Ring angeordnet, während oben die Jahreszahl „2007“ beiderseits durch je sechs Europasterne flankiert wird."
26,Mecklenburg-Vorpommern (Schweriner Schloss) 2. Münze der Bundesländerserie,Germany,2007,6.249,True,D,2 euro,"Das aus dem Stammesverband der Abodriten hervorgegangene Haus Mecklenburg, eine Dynastie von Herzögen und Großherzögen, herrschte von 1131 bis 1918 über Mecklenburg und später Mecklenburg-Schwerin. Das Schweriner Schloss, ein in einem tausendjährigen Prozess historisch gewachsenes Bauwerk, liegt auf einer Insel in der Stadt Schwerin.85 1845–1857 fand ein großer Umbau im Stil der Neorenaissance statt, unter der Leitung Georg Adolf Demmlers und der Mitwirkung von Gottfried Semper und Friedrich August Stüler. Letzterer gestalte die Kuppel, die von einer Statue des Erzengels Michael gekrönt ist.86 Darunter in der Fassade befindet sich das Reiterstandbild Fürst Niklots (≈1100–1160),87 des Stammvaters der Herzöge und Großherzöge von Mecklenburg. Die Münze zeigt das Schloss, das heute Sitz des Landtags von Mecklenburg-Vorpommern ist. Unter dem Namen „MECKLENBURG-VORPOMMERN“ befinden sich die Initialen „HH“ des Münzgestalters Heinz Hoyer. Das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) ist oben zu sehen. „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis unten im Ring angeordnet, während oben die Jahreszahl „2007“ beiderseits durch je sechs Europasterne flankiert wird."
27,Mecklenburg-Vorpommern (Schweriner Schloss) 2. Münze der Bundesländerserie,Germany,2007,6.249,True,G,2 euro,"Das aus dem Stammesverband der Abodriten hervorgegangene Haus Mecklenburg, eine Dynastie von Herzögen und Großherzögen, herrschte von 1131 bis 1918 über Mecklenburg und später Mecklenburg-Schwerin. Das Schweriner Schloss, ein in einem tausendjährigen Prozess historisch gewachsenes Bauwerk, liegt auf einer Insel in der Stadt Schwerin.85 1845–1857 fand ein großer Umbau im Stil der Neorenaissance statt, unter der Leitung Georg Adolf Demmlers und der Mitwirkung von Gottfried Semper und Friedrich August Stüler. Letzterer gestalte die Kuppel, die von einer Statue des Erzengels Michael gekrönt ist.86 Darunter in der Fassade befindet sich das Reiterstandbild Fürst Niklots (≈1100–1160),87 des Stammvaters der Herzöge und Großherzöge von Mecklenburg. Die Münze zeigt das Schloss, das heute Sitz des Landtags von Mecklenburg-Vorpommern ist. Unter dem Namen „MECKLENBURG-VORPOMMERN“ befinden sich die Initialen „HH“ des Münzgestalters Heinz Hoyer. Das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) ist oben zu sehen. „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis unten im Ring angeordnet, während oben die Jahreszahl „2007“ beiderseits durch je sechs Europasterne flankiert wird."
28,Mecklenburg-Vorpommern (Schweriner Schloss) 2. Münze der Bundesländerserie,Germany,2007,6.249,True,F,2 euro,"Das aus dem Stammesverband der Abodriten hervorgegangene Haus Mecklenburg, eine Dynastie von Herzögen und Großherzögen, herrschte von 1131 bis 1918 über Mecklenburg und später Mecklenburg-Schwerin. Das Schweriner Schloss, ein in einem tausendjährigen Prozess historisch gewachsenes Bauwerk, liegt auf einer Insel in der Stadt Schwerin.85 1845–1857 fand ein großer Umbau im Stil der Neorenaissance statt, unter der Leitung Georg Adolf Demmlers und der Mitwirkung von Gottfried Semper und Friedrich August Stüler. Letzterer gestalte die Kuppel, die von einer Statue des Erzengels Michael gekrönt ist.86 Darunter in der Fassade befindet sich das Reiterstandbild Fürst Niklots (≈1100–1160),87 des Stammvaters der Herzöge und Großherzöge von Mecklenburg. Die Münze zeigt das Schloss, das heute Sitz des Landtags von Mecklenburg-Vorpommern ist. Unter dem Namen „MECKLENBURG-VORPOMMERN“ befinden sich die Initialen „HH“ des Münzgestalters Heinz Hoyer. Das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) ist oben zu sehen. „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis unten im Ring angeordnet, während oben die Jahreszahl „2007“ beiderseits durch je sechs Europasterne flankiert wird."
29,Mecklenburg-Vorpommern (Schweriner Schloss) 2. Münze der Bundesländerserie,Germany,2007,6.249,True,J,2 euro,"Das aus dem Stammesverband der Abodriten hervorgegangene Haus Mecklenburg, eine Dynastie von Herzögen und Großherzögen, herrschte von 1131 bis 1918 über Mecklenburg und später Mecklenburg-Schwerin. Das Schweriner Schloss, ein in einem tausendjährigen Prozess historisch gewachsenes Bauwerk, liegt auf einer Insel in der Stadt Schwerin.85 1845–1857 fand ein großer Umbau im Stil der Neorenaissance statt, unter der Leitung Georg Adolf Demmlers und der Mitwirkung von Gottfried Semper und Friedrich August Stüler. Letzterer gestalte die Kuppel, die von einer Statue des Erzengels Michael gekrönt ist.86 Darunter in der Fassade befindet sich das Reiterstandbild Fürst Niklots (≈1100–1160),87 des Stammvaters der Herzöge und Großherzöge von Mecklenburg. Die Münze zeigt das Schloss, das heute Sitz des Landtags von Mecklenburg-Vorpommern ist. Unter dem Namen „MECKLENBURG-VORPOMMERN“ befinden sich die Initialen „HH“ des Münzgestalters Heinz Hoyer. Das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) ist oben zu sehen. „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis unten im Ring angeordnet, während oben die Jahreszahl „2007“ beiderseits durch je sechs Europasterne flankiert wird."
48,Portugiesische EU-Ratspräsidentschaft,Portugal,2007,1.3,False,,2 euro,"Als Sinnbild für Europa wählte Maria Irene Vilar eine Korkeiche. Diese immergrünen Laubbäume wachsen in Portugal auf einer Fläche von 7500 km² und in der benachbarten spanischen autonomen Gemeinschaft Extremadura. Portugal ist der weltweit größte Korkproduzent. Links des Stammes ist – wie im Wappen Portugals – der Wappenschild auf einer Armillarsphäre abgebildet, rechts davon dreizeilig der Landesname „PORTUGAL“. Unten sind halbkreisförmig – v. l. n. r. – die Unterschrift der Designerin, die Jahreszahl „2007“, das Münzstättenzeichen „INCM“ der Staatsdruckerei und Münzprägeanstalt Imprensa Nacional-Casa da Moeda in Lissabon sowie der Ausgabeanlass „PRESIDÊNCIA DO CONSELHO DA UE“ (EU-Ratspräsidentschaft) dargestellt."
60,500. Geburtstag Primož Trubars,Slovenia,2008,1.0,False,,2 euro,"Primož Trubar (1508–1586) kam in Triest bei Bischof Pietro Bonomo mit humanistischem Gedankengut und mit der Reformation in Berührung. Anfang der 1530er-Jahre predigte er als Vikar des Bischofs Christophorus Rauber in Ljubljana in slowenischer Sprache. Wegen seiner Hinwendung zum Protestantismus wurde er 1547 von der römisch-katholischen Kirche exkommuniziert und ging ins Exil nach Deutschland. Als Diakon in Rothenburg ob der Tauber veröffentlichte er 1550 das erste Buch in slowenischer Sprache „Catechismus In der Windischenn Sprach“. 1553–1561, mittlerweile evangelischer Pfarrer in Kempten, übersetzte er das Neue Testament aus der Lutherbibel ins Slowenische. 1567 wurde er Pfarrer in Derendingen bei Tübingen, wo er 1586 starb. Sein Grab in der St.-Gallus-Kirche wird häufig von slowenischen Gruppen besucht, die in ihm den Reformator und/oder den Begründer des slowenischen Schrifttums ehren. Die Münze zeigt ihn, der auch auf der slowenischen 1-Euro-Münze abgebildet ist, gemäß einer Büste des bosnisch-slowenischen Bildhauers Mirsad Begič.128 Auf der linken Seite sind der Name „PRIMOŽ TRUBAR“ sowie seine Lebensdaten „1508 • 1586“ dargestellt, rechts „SLOVENIJA 2008“ (Slowenien 2008). Das Design stammt von Maja Licul und Miljenko Licul, das Gipsmodell schuf Janez Boljka. Gefertigt wurde die Münze in der niederländischen Prägestätte Koninklijke Nederlandse Munt in Utrecht."
61,60. Jahrestag der Allgemeine Erklärung der Menschenrechte,Belgium,2008,5.018,False,,2 euro,"In der am 10. Dezember 1948 im Pariser Palais de Chaillot abgehaltenen Sitzung der Generalversammlung der Vereinten Nationen wurde die Resolution 217 verabschiedet, mit der – rechtlich nicht bindenden – Allgemeinen Erklärung der Menschenrechte. Deren Artikel 1 lautet: „Alle Menschen sind frei und gleich an Würde und Rechten geboren.“ Die von Luc Luycx entworfene Münze ist dieser Resolution gewidmet. Ein von geschwungenen Linien umfasstes Rechteck, einem stilisierten Buch ähnelnd, trägt einen den Erdkreis symbolisierenden Kreis sowie die Zahl „60“. Darunter steht vierzeilig der Ausgabeanlass „UNIVERSAL DECLARATION OF HUMAN RIGHTS“ (Allgemeine Erklärung der Menschenrechte). Darüber wird das Jahr „2008“ genannt. Unten ist der Name des Ausgabestaats „BELGIE – BELGIQUE – BELGIEN“ in den drei Landessprachen Niederländisch, Französisch und Deutsch halbkreisförmig zu sehen, flankiert links vom behelmten Kopf des Erzengels Michael als Münzstättenzeichen40 der Monnaie Royale de Belgique / Koninklijke Munt van België / Königlichen Belgischen Münze in Brüssel und rechts von einer Waage als Münzmeisterzeichen Romain Coenens."
65,60. Jahrestag der Allgemeinen Erklärung der Menschenrechte,Finland,2008,1.5,True,,2 euro,"In der am 10. Dezember 1948 im Pariser Palais de Chaillot abgehaltenen Sitzung der Generalversammlung der Vereinten Nationen wurde die Resolution 217 verabschiedet, mit der – rechtlich nicht bindenden – Allgemeinen Erklärung der Menschenrechte. Deren Artikel 1 lautet: „Alle Menschen sind frei und gleich an Würde und Rechten geboren.“ Die Münze würdigt diese Resolution und zeigt eine – wie aus Bruchsteinen bestehende – Fläche mit einer herzförmigen Öffnung, durch die eine menschliche Figur zu sehen ist. Unterhalb des Herzens sind die Worte „HUMAN RIGHTS“ (Menschenrechte) eingeprägt. Die Jahreszahl „2008“ ist oben dargestellt. Unten sind (v. l. n. r.) das Landeskürzel „FI“ für Finnland, das Signet „K“ des Münzgestalters Taipo Kettunen sowie ein Füllhorn mit Ronden als Münzstättenzeichen der Prägestätte Suomen Rahapaja (Finnische Münze) in Vantaa zu erkennen."
66,60. Jahrestag der Allgemeinen Erklärung der Menschenrechte,Italy,2008,2.5,True,,2 euro,"In der am 10. Dezember 1948 im Pariser Palais de Chaillot abgehaltenen Sitzung der Generalversammlung der Vereinten Nationen wurde die Resolution 217 verabschiedet, mit der – rechtlich nicht bindenden – Allgemeinen Erklärung der Menschenrechte. Deren Artikel 1 lautet: „Alle Menschen sind frei und gleich an Würde und Rechten geboren.“ Die Münze würdigt diese Resolution und zeigt einen Mann und eine Frau mit den Symbolen des Rechts auf Frieden (Olivenzweig), auf Nahrung (Ähren), auf Arbeit (Zahnrad) und auf Freiheit (ein Stück Stacheldraht) sowie aufgebrochene Kettenglieder, die die Zahl „60“ bilden. Der Schriftzug „DIRITTI UMANI“ (Menschenrechte) zieht sich bogenförmig über den unteren Teil der Münze, darüber steht die Ligatur „RI“ (Repubblica Italiana, Italienische Republik) und die Jahreszahl „2008“. Rechts sind die Initialen „MCC“ der Medailleurin Maria Carmela Colaneri abgebildet und das Münzstättenzeichen „R“ der Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom."
63,60. Jahrestag der Allgemeinen Erklärung der Menschenrechte,Portugal,2008,1.035,True,,2 euro,"In der am 10. Dezember 1948 im Pariser Palais de Chaillot abgehaltenen Sitzung der Generalversammlung der Vereinten Nationen wurde die Resolution 217 verabschiedet, mit der – rechtlich nicht bindenden – Allgemeinen Erklärung der Menschenrechte. Deren Artikel 1 lautet: „Alle Menschen sind frei und gleich an Würde und Rechten geboren.“ Die Münze würdigt diese Resolution. Oben ist – wie im Wappen Portugals – der Wappenschild auf einer Armillarsphäre dargestellt, darunter der Name des Ausgabestaates „PORTUGAL“ und die Jahreszahl „2008“. Die untere Hälfte zeigt, stilisiert, eine Menschengruppe von fünfzehn Personen. Kreisförmig ist am Rand der Pille der Ausgabeanlass „60 ANOS DA DECLARAÇÃO UNIVERSAL DOS DIREITOS HUMANOS“ (60. Jahrestag der Allgemeinen Erklärung der Menschenrechte) angegeben. Oben rechts stehen das Signet „Esc.J.Duarte“ des Bildhauers (portugiesisch Escultor = Esc.) und Münzgestalters João Duarte sowie das Münzstättenzeichen „INCM“ der Staatsdruckerei und Münzprägeanstalt Imprensa Nacional-Casa da Moeda in Lissabon."
59,Europäisches Jahr des interkulturellen Dialogs,San Marino,2008,0.13,False,,2 euro,"Die Münze zeigt vor einem die Umrisse Europas darstellenden Globussegment fünf stehende menschliche Silhouetten, die die verschiedenen, in Europa vertretenen Kulturen der fünf Kontinente Amerika, Afrika, Europa, Asien und Australien symbolisieren. Im Vordergrund sind vier Heilige Schriften verschiedener Religionen in Buchform dargestellt. Der interkulturelle Dialog soll die kulturelle Vielfalt in Europa respektieren und fördern, das Zusammenleben verbessern und den aktiven und weltoffenen, auf gemeinsamen Werten beruhenden europäischen Bürgersinn fördern. Oben wird der Ausgabestaat „SAN MARINO“ und das Jahr „2008“ genannt, unten halbkreisförmig der Ausgabeanlass „ANNO EUROPEO DEL DIALOGO INTERCULTURALE“ (Europäisches Jahr des interkulturellen Dialogs). Links ist das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom zu sehen, rechts das Signet „E.L.F.“ des Designers Ettore Lorenzo Frapiccini."
62,Französische EU-Ratspräsidentschaft,France,2008,20.085,False,,2 euro,"Nach der 1995 in Barcelona ins Leben gerufenen euro-mediterranen Partnerschaft wurde während Frankreichs Ratspräsidentschaft 2008 die Mittelmeerunion gegründet. Der Münzentwurf von Philippe Starck benennt untereinander das Ausgabejahr „2008“ und (vierzeilig) das Thema „PRÉSIDENCE FRANÇAISE UNION EUROPÉENNE“ (französischer Vorsitz Europäische Union). Darunter befindet sich das Landeskürzel „RF“ (République française, Französische Republik) und unten links ein Füllhorn als Münzstättenzeichen der Monnaie de Paris in Pessac, rechts daneben ein Jagdhorn mit dem Tierkreiszeichen Fische als Münzmeisterzeichen Hubert Larivières. Von dieser Münze hat die Monnaie de Paris im Auftrag der Europäischen Kommission 5.000 auf der Motivseite durchgehend gelb kolorierte Exemplare in nummerierten Blistern hergestellt und an Mitarbeiter der EU verteilt – die ersten kolorierten Euro-Umlaufmünzen.135 Eine 2010 erlassene Empfehlung der Kommission lautet: „Mitgliedstaaten sollten eine Beschädigung von Euromünzen für künstlerische Zwecke nicht unterstützen, jedoch tolerieren. Derart beschädigte Münzen sollten als nicht für den Umlauf geeignet betrachtet werden“.136"
53,Hamburg (St.-Michaelis-Kirche) 3. Münze der Bundesländerserie,Germany,2008,6.103,True,A,2 euro,"Die Münze zeigt die 1762–1786 errichtete (und 1906–1912 neu aufgebaute) Hamburger St.-Michaelis-Kirche, volkstümlich „Michel“ genannt, das Wahrzeichen der Hansestadt. Die Kirche ist nach dem Erzengel Michael benannt, der (links) als große Bronzestatue über dem Hauptportal als Sieger im Kampf mit Satan dargestellt ist.117 Unten steht der Name des Bundeslandes „HAMBURG“, oben rechts das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts die Ligatur „Œ“ des Designers Erich Ott. Der Name des Ausgabelandes „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben je sechs Europasterne die Jahreszahl „2008“ flankieren. Etwa 600.000 Münzen wurden versehentlich von der Stuttgarter Prägestätte (Münzzeichen F) mit der alten, von 2002 bis 2006 gültigen Wertseite geprägt.118 Ursprünglich waren die St. Pauli-Landungsbrücken als Münzmotiv vorgesehen."
54,Hamburg (St.-Michaelis-Kirche) 3. Münze der Bundesländerserie,Germany,2008,6.103,True,D,2 euro,"Die Münze zeigt die 1762–1786 errichtete (und 1906–1912 neu aufgebaute) Hamburger St.-Michaelis-Kirche, volkstümlich „Michel“ genannt, das Wahrzeichen der Hansestadt. Die Kirche ist nach dem Erzengel Michael benannt, der (links) als große Bronzestatue über dem Hauptportal als Sieger im Kampf mit Satan dargestellt ist.117 Unten steht der Name des Bundeslandes „HAMBURG“, oben rechts das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts die Ligatur „Œ“ des Designers Erich Ott. Der Name des Ausgabelandes „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben je sechs Europasterne die Jahreszahl „2008“ flankieren. Etwa 600.000 Münzen wurden versehentlich von der Stuttgarter Prägestätte (Münzzeichen F) mit der alten, von 2002 bis 2006 gültigen Wertseite geprägt.118 Ursprünglich waren die St. Pauli-Landungsbrücken als Münzmotiv vorgesehen."
55,Hamburg (St.-Michaelis-Kirche) 3. Münze der Bundesländerserie,Germany,2008,6.103,True,G,2 euro,"Die Münze zeigt die 1762–1786 errichtete (und 1906–1912 neu aufgebaute) Hamburger St.-Michaelis-Kirche, volkstümlich „Michel“ genannt, das Wahrzeichen der Hansestadt. Die Kirche ist nach dem Erzengel Michael benannt, der (links) als große Bronzestatue über dem Hauptportal als Sieger im Kampf mit Satan dargestellt ist.117 Unten steht der Name des Bundeslandes „HAMBURG“, oben rechts das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts die Ligatur „Œ“ des Designers Erich Ott. Der Name des Ausgabelandes „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben je sechs Europasterne die Jahreszahl „2008“ flankieren. Etwa 600.000 Münzen wurden versehentlich von der Stuttgarter Prägestätte (Münzzeichen F) mit der alten, von 2002 bis 2006 gültigen Wertseite geprägt.118 Ursprünglich waren die St. Pauli-Landungsbrücken als Münzmotiv vorgesehen."
56,Hamburg (St.-Michaelis-Kirche) 3. Münze der Bundesländerserie,Germany,2008,6.103,True,F,2 euro,"Die Münze zeigt die 1762–1786 errichtete (und 1906–1912 neu aufgebaute) Hamburger St.-Michaelis-Kirche, volkstümlich „Michel“ genannt, das Wahrzeichen der Hansestadt. Die Kirche ist nach dem Erzengel Michael benannt, der (links) als große Bronzestatue über dem Hauptportal als Sieger im Kampf mit Satan dargestellt ist.117 Unten steht der Name des Bundeslandes „HAMBURG“, oben rechts das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts die Ligatur „Œ“ des Designers Erich Ott. Der Name des Ausgabelandes „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben je sechs Europasterne die Jahreszahl „2008“ flankieren. Etwa 600.000 Münzen wurden versehentlich von der Stuttgarter Prägestätte (Münzzeichen F) mit der alten, von 2002 bis 2006 gültigen Wertseite geprägt.118 Ursprünglich waren die St. Pauli-Landungsbrücken als Münzmotiv vorgesehen."
57,Hamburg (St.-Michaelis-Kirche) 3. Münze der Bundesländerserie,Germany,2008,6.103,True,J,2 euro,"Die Münze zeigt die 1762–1786 errichtete (und 1906–1912 neu aufgebaute) Hamburger St.-Michaelis-Kirche, volkstümlich „Michel“ genannt, das Wahrzeichen der Hansestadt. Die Kirche ist nach dem Erzengel Michael benannt, der (links) als große Bronzestatue über dem Hauptportal als Sieger im Kampf mit Satan dargestellt ist.117 Unten steht der Name des Bundeslandes „HAMBURG“, oben rechts das Münzstättenzeichen (A = Berlin, D = München, F = Stuttgart, G = Karlsruhe oder J = Hamburg) und rechts die Ligatur „Œ“ des Designers Erich Ott. Der Name des Ausgabelandes „BUNDESREPUBLIK DEUTSCHLAND“ ist in einem Halbkreis im unteren Teil des Ringes angeordnet, während oben je sechs Europasterne die Jahreszahl „2008“ flankieren. Etwa 600.000 Münzen wurden versehentlich von der Stuttgarter Prägestätte (Münzzeichen F) mit der alten, von 2002 bis 2006 gültigen Wertseite geprägt.118 Ursprünglich waren die St. Pauli-Landungsbrücken als Münzmotiv vorgesehen."
64,Paulusjahr,Vatican,2008,0.106,False,,2 euro,"Als griechisch gebildeter Jude und gesetzestreuer Pharisäer mit römischem Bürgerrecht verfolgte Paulus († ≈64) zunächst die Anhänger Jesu Christi. Erst durch das Damaskuserlebnis soll er bekehrt und zum Apostel der Völker berufen worden sein. Dies stellt der Münzgestalter Guido Veroi dar durch einen Lichtstrahl, der auf Paulus und sein sich aufbäumendes Pferd niedergeht. Im Hintergrund ist die Stadtmauer von Damaskus mit drei Wehrtürmen und einem Stadttor abgebildet. Zwei bogenförmige Inschriften umgeben das Motiv, rechts der Ausgabeanlass „ANNO SANCTO PAULO DICATO“ (im dem heiligen Paulus geweihten Jahr) und links „CITTÀ DEL VATICANO“ (Vatikanstadt). Das Ausgabejahr „2008“ steht rechts wie auch weiter unten das Münzstättenzeichen „R“ der italienischen Prägestätte Istituto Poligrafico e Zecca dello Stato in Rom. Darunter bzw. am unteren Rand der Pille sind die Signets „VEROI“ des Designers und „L.D.S.INC.“ (INC. = Incisore / Graveur) der Medailleurin Luciana De Simoni dargestellt."
58,Schloss Berg 5. Münze der Serie Großherzogliche Dynastie,Luxembourg,2008,1.042,False,,2 euro,"Der auf einem Gestaltungskonzept der Luxemburger Zentralbank basierende Münzentwurf stellt auf der linken Seite Großherzog Henri im Halbprofil dar, rechts daneben die unter Großherzog Wilhelm IV. von Max Ostenrieder und Pierre Funck-Eydt entworfene und von 1907 bis 1911 erbaute Residenz der großherzoglichen Familie, Schloss Berg. Unten ist der Landesname „LËTZEBUERG“ (Luxemburg) zu sehen, oben das Ausgabejahr „2008“, flankiert links von einem ein Füllhorn als Münzstättenzeichen der französischen Prägestätte Monnaie de Paris in Pessac und rechts vom Münzmeisterzeichen Hubert Larivières, einem Jagdhorn mit dem Tierkreiszeichen Fische."
98,20. Jahrestag des Kampfes für Freiheit und Demokratie,Slovakia,2009,1.0,False,,2 euro,"Zum Symbol des sanften Widerstands in der Tschechoslowakei 1989 wurden Schlüsselbunde. Die Demonstranten wollten mit ihren über den Köpfen klingelnden Schlüsseln die Wende einläuten. So ist ein Schlüssel, der als Klöppel in einer Glocke schwingt, das Symbol für die Samtene Revolution und das Motiv der Münze. Es wird kreisförmig umgeben von den Inschriften „17. NOVEMBER SLOBODA DEMOKRATIA“ (17. November Freiheit der Demokratie), „1989–2009“ und „SLOVENSKO“ (Slowakei). Das aus den Initialen gebildete quadratische Signet des Münzgestalters Pavel Károly und das Münzstättenzeichen des Münzhauses Mincovňa Kremnica in Kremnica, ein „MK“ zwischen zwei Prägestempeln, befinden sich rechts unten neben der Glocke."
95,200. Geburtstag Louis Brailles,Belgium,2009,5.013,True,,2 euro,"Die von Luc Luycx gestaltete Münze ist Louis Braille (1809–1852) gewidmet, einem Franzosen, der nach einem Unfall mit fünf Jahren erblindete. Im Alter von elf Jahren erfuhr er von der von Charles Barbier (1767–1841) entwickelten „Nachtschrift“, die gedacht war, Soldaten an der Front schriftliche Befehle zu erteilen, die diese lesen konnten, ohne eine Laterne anzuzünden, da sie sich sonst dem Beschuss durch den Gegner ausgesetzt hätten. 1824, als Fünfzehnjähriger, entwickelte er einen Code für das französische Alphabet zur Verbesserung der Nachtschrift. Nach einer zweiten Revision veröffentlichte er 1837 die erste in der Neuzeit entwickelte binäre Blindenschrift. Die Münze zeigt zwischen den Initialen „L“ und „B“, welche in Brailleschrift geschrieben sind, sein Abbild nach einer Büste eines unbekannten Künstlers. Über diesem steht bogenförmig „LOUIS BRAILLE“. Unten sind „1809“ als Brailles Geburtsjahr, das Landeskürzel „BE“ sowie das Ausgabejahr „2009“ dargestellt, flankiert links vom behelmten Kopf des Erzengels Michael als Münzstättenzeichen40 der Monnaie Royale de Belgique / Koninklijke Munt van België / Königlichen Belgischen Münze in Brüssel sowie rechts vom Münzmeisterzeichen Serge Lesens’, einer Feder."
